Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
Afghanistan,AFG,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,48.0699996948242,47.4000015258789,46.689998626709,42.5,..,40.2999992370605,38.810001373291,58.4000015258789,58.4000015258789,57.2000007629395,55.5999984741211,62.0699996948242,59.6100006103516,35,34.7900009155273,34.5,34.4500007629395,65.2399978637695,61.939998626709,61.9000015258789,62.2000007629395
Algeria,DZA,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,..,..,44.9199981689453,27.5200004577637,..,..,27.0200004577637,..,..,..,..,..,..,..,..,41.4300003051758,41.7099990844727
American Samoa,ASM,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,50.7200012207031,..,..,..,..,..,..,..,..,..,53.0299987792969,..,..,..,..,59.9300003051758,..,..,..,..,52.6399993896484
Andorra,AND,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,61.4500007629395,59.4599990844727,56.689998626709,..,..
Angola,AGO,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,69.4599990844727,..,..,..,..,..,..,..,..,..,71.75,..,..,..,..,..,..,..,..,..
Argentina,ARG,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,53.3800010681152,56.689998626709,..,..,..,58.189998626709,..,..,..,..,57.6500015258789,57.2000007629395,..,57.75,61.689998626709,61.6100006103516,61.4900016784668,..,60.5390014648438,60.5099983215332,59.1599998474121
Armenia,ARM,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,..,..,..,61.5200004577637,..,..,38.060001373291,65.4100036621094,..,..,..,..,45.939998626709,..,58.560001373291,59.1699981689453,61.2000007629395
Aruba,ABW,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,61.6699981689453,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,66.1999969482422,..,..,63.9099998474121
Australia,AUS,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,63.75,63.1399993896484,62.8600006103516,62.4500007629395,62.9300003051758,63.5400009155273,63.5200004577637,63.1199989318848,63,62.7599983215332,63.1399993896484,63.2999992370605,63.3600006103516,63.5900001525879,63.4599990844727,64.4000015258789,64.7600021362305,65.1800003051758,65.4800033569336,65.4300003051758,65.3899993896484
Austria,AUT,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,55.439998626709,57.2200012207031,56.5800018310547,56.689998626709,59.060001373291,59.4300003051758,58.8300018310547,58.439998626709,58.8499984741211,58.9900016784668,58.7099990844727,58.2400016784668,58.9599990844727,59.1500015258789,57.2599983215332,58.560001373291,59.0800018310547,59.939998626709,60.1699981689453,60.4500007629395,60.4000015258789
Azerbaijan,AZE,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,..,..,..,..,..,64.6600036621094,46.4000015258789,..,46.0499992370605,45.9900016784668,46.2999992370605,46.2999992370605,65.5800018310547,64.7799987792969,63.939998626709,65.0500030517578,64.8099975585938
"Bahamas, The",BHS,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,71.5999984741211,..,51.0200004577637,..,73.7699966430664,..,..,..,69.7900009155273,..,..,..,..,..,..,..,..,..,..,73.4000015258789,..
Bahrain,BHR,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,65.2200012207031,..,..,..,..,..,..,45.8400001525879,46.0400009155273,..,65.7099990844727,..,..,63.7000007629395,48.2999992370605,66.5800018310547,..,..,..,72.0599975585938
Bangladesh,BGD,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,75.9000015258789,..,..,..,..,72.5599975585938,..,..,..,72.0599975585938,..,..,57.2999992370605,..,58.4700012207031,..,..,..,..,59.2700004577637
Barbados,BRB,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,67.3399963378906,65.1900024414063,66.120002746582,..,67.4700012207031,68.1600036621094,67,67.7200012207031,67.7300033569336,67.8000030517578,..,69.5699996948242,68.4599990844727,69.25,69.6800003051758,69.5699996948242,67.870002746582,67.8000030517578,67.6100006103516,66.9599990844727,66.5999984741211
Belarus,BLR,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,..,..,..,45.9000015258789,..,58.6699981689453,..,45.4599990844727,45.5299987792969,45.560001373291,45.2799987792969,46.0499992370605,54.8300018310547,..,..,60.6100006103516,81.4000015258789
Belgium,BEL,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,48.3400001525879,49.2700004577637,49.6300010681152,49.7299995422363,50.3300018310547,50.5400009155273,50.4099998474121,50.5200004577637,50.8499984741211,51.9099998474121,52.2900009155273,50.8899993896484,51.189998626709,51.3499984741211,52.0299987792969,53.2999992370605,53.1100006103516,53.5900001525879,53.6800003051758,53.4700012207031,54.0699996948242
Belize,BLZ,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,52.4199981689453,..,..,56.0699996948242,..,56.0999984741211,..,..,..,..,..,..,..,..,61.2999992370605,..,..,..,..,66.7900009155273
Benin,BEN,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,72.1600036621094,..,..,..,58.8899993896484,..,..,..,..,67.6800003051758,71.75,..,..,..,..,..,..,..,75.3099975585938
Bermuda,BMU,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,74.8499984741211,..,..,..,..,..,..,..,..,73.4400024414063,..,..,..,..,..,..,..,..,82,84
Bhutan,BTN,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.439998626709,61.7999992370605,..,..,69.6999969482422,68.1500015258789
Bolivia,BOL,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,53.6500015258789,51.6800003051758,63.1500015258789,..,..,63.6599998474121,64.6999969482422,70.6600036621094,..,..,70.3499984741211,..,..,..,..,..,..,49.7599983215332,..,58.4900016784668,56.9700012207031
Bosnia and Herzegovina,BIH,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,40.7400016784668,..,..,..,..,..,..,..,..,..,..,..,..,..,..,43.0699996948242,43.8899993896484,43.9000015258789,43.6399993896484,44.5900001525879
Botswana,BWA,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,57.3800010681152,..,..,..,..,52.3699989318848,..,57.8499984741211,..,57.439998626709,55.0400009155273,..,..,..,..,6.17000007629395,..,..,..,59.1300010681152
Brazil,BRA,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,63.6300010681152,..,68.4499969482422,68.1699981689453,..,68.2600021362305,66.120002746582,66.9499969482422,66.8899993896484,67.6399993896484,63.439998626709,67.0100021362305,67.8300018310547,57.0900001525879,57.1500015258789,56.5699996948242,56.8499984741211,56.8800010681152,56.9799995422363,56.6699981689453,57.0800018310547
British Virgin Islands,VGB,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,76.6999969482422,..,..,60.7099990844727,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Brunei Darussalam,BRN,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,65.5699996948242,..,..,..,..,..,..,..,..,..,67.9499969482422,..,..,..,..,..,..,..,..,..
Bulgaria,BGR,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,57.1699981689453,..,..,..,..,51.7999992370605,..,..,50.1800003051758,51.3699989318848,50.8199996948242,49.9199981689453,50.5499992370605,49.689998626709,51.2900009155273,52.5999984741211,53.810001373291,53.0200004577637,53.3899993896484
Burkina Faso,BFA,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,83.9300003051758,..,..,..,..,..,..,..,..,..,..,..,..,..,89.0999984741211,72.7099990844727,87.3000030517578,..,..,..
Burundi,BDI,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,90.3199996948242,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,69.9899978637695,..,..
Cabo Verde,CPV,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,60.8899993896484,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59.1199989318848
Cambodia,KHM,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,91.2099990844727,86.1600036621094,..,..,78.9300003051758,..,77.0400009155273,79.4000015258789,65.1999969482422,71.6999969482422,..,..,80.4199981689453,..,..,83.6699981689453,81.8000030517578,84.379997253418,87
Cameroon,CMR,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,..,..,..,..,..,..,38.4700012207031,..,..,..,..,..,..,..,..,..,76.2300033569336
Canada,CAN,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,67.1399993896484,66.5800018310547,65.6999969482422,65.3399963378906,65.1600036621094,64.8199996948242,64.6699981689453,64.870002746582,65.129997253418,65.5299987792969,65.7600021362305,65.9100036621094,66.8600006103516,67.5599975585938,67.4899978637695,67.1399993896484,67.0199966430664,67.4400024414063,67.5599975585938,67.0899963378906,66.9100036621094
Cayman Islands,CYM,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,81.5400009155273,..,..,..,..,..,..,..,85.6100006103516,..,..,..,..,..,83.9899978637695,83.1600036621094,82,84.0899963378906,84.1699981689453,81.7699966430664
Central African Republic,CAF,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chad,TCD,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,72.3000030517578,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Channel Islands,CHI,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Chile,CHL,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,52.75,52.5699996948242,53.810001373291,55.3199996948242,55.1699981689453,53.9199981689453,54.5400009155273,54.4300003051758,55.1300010681152,55.0299987792969,53.560001373291,53.3400001525879,52.8800010681152,53.1199989318848,54.2299995422363,53.2700004577637,54.5400009155273,55.6500015258789,56.3300018310547,55.8600006103516,59.2999992370605
China,CHN,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,79.0130004882813,..,..,..,..,77.4499969482422,77.4489974975586,77.3489990234375,77.765998840332,77.5719985961914,77.3099975585938,76.4599990844727,75.6600036621094,74.9899978637695,74.2399978637695,74.2399978637695,73.7300033569336,73.1800003051758,72.8300018310547,72.4599990844727,71.25
Colombia,COL,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,61.1300010681152,..,..,64.9199981689453,..,..,45.9000015258789,64.0199966430664,65.1800003051758,67.7300033569336,64.8499984741211,63.939998626709,62.3499984741211,63.060001373291,61.2099990844727,60.9599990844727,58.560001373291,58,59.25,66.9599990844727,68.2300033569336
Comoros,COM,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,44.9700012207031,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Congo, Dem. Rep.",COD,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,60.9000015258789,..,..,..,..,..
"Congo, Rep.",COG,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,59,..
Costa Rica,CRI,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,57.2700004577637,56.3199996948242,55.6399993896484,56.5,56.9799995422363,57.9000015258789,55.9199981689453,58.1399993896484,59.6599998474121,59.4000015258789,57.7700004577637,60.2299995422363,60.6500015258789,60.0400009155273,58.8699989318848,62.0699996948242,60.6500015258789,61.4300003051758,60.8800010681152,61.5,59.0900001525879
Cote d'Ivoire,CIV,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,..,..,..,..,65.1699981689453,..,..,..,..,..,..,..,..,..,..,..,..
Croatia,HRV,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,56.7400016784668,..,..,..,..,..,..,48.6100006103516,..,50.7400016784668,49.6800003051758,51.1699981689453,50.2900009155273,51.1500015258789,49.6199989318848,49.189998626709,52.9300003051758,53.1199989318848,53.1199989318848,52.5800018310547
Cuba,CUB,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,42.0999984741211,..,43.0999984741211,..,54.3300018310547,55.5979995727539,55.0040016174316
Curacao,CUW,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Cyprus,CYP,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,65.0100021362305,65.1800003051758,59.2799987792969,..,..,62.5299987792969,..,..,..,..,60.2799987792969,61.689998626709,61.8600006103516,63.1699981689453,63.0400009155273,63.2000007629395,63.5400009155273,64.3899993896484,64.2099990844727,63.7299995422363,64.2699966430664
