Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
Afghanistan,AFG,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,19.14716,..,..,..,..,..,..,..,..,..,..,..,17.04929,..,..,..,..,..
Albania,ALB,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,90.34977,..,..,..,82.06566,88.20117,..,86.0493,..,..,..,90.08408,90.15797,89.02231,94.48979
Algeria,DZA,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,57.86388,54.91561,56.90783,56.42311,56.71837,57.14134,56.90544,52.28771,..,54.92698,51.51907,54.44506,60.33718,61.1326,62.09389,72.37749,66.07578,60.44163,55.37278,62.38471,58.44122
American Samoa,ASM,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19.18786,19.39375,..
Antigua and Barbuda,ATG,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,136.2766,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,82.13605,77.40717,90.07538
Argentina,ARG,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,80.80924,85.78954,86.16366,85.82388,81.61063,80.1396,81.44458,78.14536,76.51679,78.30746,79.56929,83.40963
Armenia,ARM,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,89.13722,..,..,..,..,..,..,..,85.09742,84.0923,87.89941,95.43495,99.10496,94.24054,89.23704,103.87397,..
Aruba,ABW,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,93.61702,94.75309,98.26677,97.20999,89.52583,87.55948,87.59028,..,88.96595,..,96.19109,..
Australia,AUS,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Austria,AUT,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,..,..,..,103.7629,103.96831,..,..,102.47868,101.50136,100.76995,100.06926,101.92632
Azerbaijan,AZE,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,90.07821,87.51571,..,85.33949,84.22053,..,86.10857,38.24668,73.99507,88.55607,85.51001,83.64337,82.84026,88.86907,89.59932,88.07868,90.74747,90.57911
"Bahamas, The",BHS,"Lower secondary completion rate, total (% of relevant age group)",SE.SEC.CMPT.LO.ZS,..,..,..,..,..,..,..,..,..,81.05043,..,..,..,..,91.91176,92.71512,92.44039,101.01853,103.12963,..,96.67644
