Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
Afghanistan,AFG,GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD,..,6536.041015625,6155.55712890625,4290.95703125,3111.92602539063,4371.64892578125,4015.59399414063,3713.43505859375,3469.33203125,3219.72290039063,2960.1279296875,2667.48510742188,4146.6640625,4624.7451171875,4437.73779296875,4709.75,4834.673828125,5371.01513671875,5440.94189453125,6417.60009765625,6744.2001953125
Albania,ALB,GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD,..,8017.4091796875,7623.22900390625,8685.5556640625,9602.8466796875,11040.4384765625,12009.65625,10424.439453125,11409.7900390625,12918.7431640625,13639.119140625,16325.7412109375,15402.2041015625,16297.7783203125,17441.94921875,18692.517578125,19796.234375,21397.759765625,23244.130859375,24601.49609375,25912.27734375
Algeria,DZA,GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD,..,51043.84765625,51247.5546875,48130.52734375,46372.92578125,48308.60546875,49180.63671875,45955.1484375,47262.5390625,47759.03515625,50254.9375,49535.5625,50119.99609375,50997.69140625,48214.390625,48527.0546875,46695.0078125,48180.4453125,46882.078125,46183.52734375,46581
American Samoa,ASM,GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD,..,11878.728515625,10670.2080078125,7670.2109375,7702.8828125,8262.6845703125,8969.9267578125,9431.7041015625,9808.4296875,9828.810546875,9809.25,9922.9892578125,10984.78515625,11156.986328125,11982.5634765625,13773.638671875,16212,19378.76171875,21385.146484375,21073.3203125,20987.173828125
Antigua and Barbuda,ATG,GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Argentina,ARG,GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD,..,14235.08984375,15807.4873046875,17014.552734375,18038.7109375,18544.978515625,18935.12109375,19646.34765625,19635.529296875,18988.123046875,18774.8203125,18131.25390625,16314.1552734375,16721.130859375,16435.35546875,17279.77734375,18077.658203125,19229.294921875,19618.29296875,19451.240234375,21068.08203125
Armenia,ARM,GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD,..,9821.390625,5783.63720703125,5456.01806640625,5832.1328125,6384.453125,6869.27587890625,7035.51806640625,7634.52685546875,7849.6171875,8422.103515625,9174.0283203125,10250.92578125,11555.2353515625,12623.0673828125,14221.806640625,15976.048828125,18027.033203125,19067.740234375,16633.62109375,16414.9921875
Aruba,ABW,GDP per person employed (constant 2011 PPP $),SL.GDP.PCAP.EM.KD,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
