Country Name,Country Code,Series Name,Series Code,1990 [YR1990],1991 [YR1991],1992 [YR1992],1993 [YR1993],1994 [YR1994],1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010]
Afghanistan,AFG,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,28.65191,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Albania,ALB,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,97.31425,95.88988,94.32735,..,91.71031,91.11129,..,..,..,90.26729,89.39333,91.03387
Algeria,DZA,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,85.39039,87.11217,88.19927,87.71056,87.6533,87.88341,87.43857,86.91417,..,89.72553,90.52372,92.64194,93.91455,94.45286,95.22201,95.53876,95.7595,95.97538,97.34115,98.8084,98.66048
American Samoa,ASM,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,49.68057,..,..,..,..,..,..,..,..,..,80.1991,79.69084,81.33944
Antigua and Barbuda,ATG,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,91.82146,92.87914,92.36029,89.479
Argentina,ARG,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,96.25382,..,..,..,..,..,100,99.93764,99.75212,99.54847,..,..,99.54298,99.19728,99.34583,99.46886,99.5742,99.43829,99.43551,99.06611
Armenia,ARM,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,..,..,..,87.31713,85.64542,..,87.55303,89.96687,92.94838,..,..,..
Aruba,ABW,"Adjusted net enrollment rate, primary (% of primary school age children)",SE.PRM.TENR,..,..,..,..,..,..,..,..,..,98.00173,98.25359,96.61571,95.39763,93.97484,94.77636,97.97892,98.64935,98.92681,99.11432,95.99542,98.92046
